Time,x,y,z,alpha,beta,gamma,vx,vy,vz,valpha,vbeta,vgamma,target_z,u1,u2,u3,u4,mass_multiplier
0,0.0001,0.0001,0.0306191786657313,0,0,0,0,0,0,0,0,0,0.0301191786657313,-0.14306640625,-0.146517738699913,-0.304434508085251,0.0469907820224762,0.0999999999999999
0.001,0.000101604715893848,0.000100238948590373,0.0306555344182987,-0.000926613432422523,0.000643051466356121,-3.59094087798439e-10,0.00325950384007097,0.000553271159632463,0.0723668377946546,-1.64223782826654,1.14375056944124,-2.07523768345177e-06,0.0301191786657313,0.30867201089859,0.345735549926758,0.24307918548584,-0.187686145305634,0.0999999999999999
0.002,0.000106332030271,0.000104129446153795,0.0307584288065151,-0.00204630641776279,0.00192615709405681,-4.1615498913572e-07,0.00629926116462871,0.00729888385011125,0.132619988793905,-0.36409637362474,1.15138280132911,-0.00090823969451127,0.0301191786657313,0.153575301170349,0.15527069568634,0.653551459312439,0.535551607608795,0.0999999999999999
0.003,0.000112244252432167,0.000111442728258948,0.0309164781311792,-0.00228005437865674,0.00296630152919858,-1.35625681219054e-06,0.00562703514176931,0.00736408853100933,0.182394569232927,-0.078922840372437,0.724042929017956,-0.000778296890945227,0.0301191786657313,-0.582358062267303,-0.0045745437964797,0.8152095079422,0.975634217262268,0.0999999999999999
0.004,0.000114349628906348,0.000116672093060296,0.0311223696583119,-0.00270382454823078,0.00383691497530164,-1.71094483691903e-06,-0.00130793806675799,0.0031620924557031,0.228087864010705,-0.697762969680617,0.845729233798859,0.00021125802257124,0.0301191786657313,-0.380841165781021,-0.11205667257309,1,0.586140513420105,0.0999999999999999
0.005,0.000109835896282657,0.000118920018731917,0.0313705597117613,-0.00319762814143156,0.00432869185806234,-1.38947305083903e-06,-0.00765683632840038,0.00138457069576572,0.266794730529903,-0.20302323568785,0.0399019189558499,0.000408907465231694,0.0301191786657313,-0.541547238826752,-0.0595661252737045,0.76486873626709,0.791306972503662,0.0999999999999999
0.006,9.92506958712747e-05,0.000118924780387434,0.0316537298079957,-0.0031828029410191,0.00382653708746629,-5.29220601119818e-07,-0.013498775430363,-0.00134210931394458,0.297686391852271,0.211938571888217,-0.938413357455263,0.00118965334927737,0.0301191786657313,-0.144027024507523,-0.238392636179924,1,1,0.0999999999999999
0.007,8.32075297231901e-05,0.000114815648509231,0.0319607314384512,-0.00319618628543296,0.00263927525402486,1.51469956266581e-06,-0.0186869357550206,-0.00685463094766652,0.314719195999511,-0.236966419509241,-1.22262663670526,0.00247872495003782,0.0301191786657313,0.0746818333864212,-0.216924861073494,0.701141119003296,0.882243931293488,0.0999999999999999
0.008,6.34070435985262e-05,0.00010571169546418,0.0322806373877165,-0.00343943206926984,0.00133061529213507,4.15776193030126e-06,-0.0210434565184618,-0.0113309784720129,0.32353114564907,-0.190121476949701,-1.18151992263073,0.00236052764099642,0.0301191786657313,0.314966917037964,0.314249902963638,0.297895610332489,0.81772518157959,0.0999999999999999
0.009,4.30041308145264e-05,9.41273528124284e-05,0.0326037023021513,-0.00297027811078625,6.52846395983135e-05,6.34671006682908e-06,-0.0199087703044728,-0.011899707880833,0.321125898479908,1.05404717425923,-1.1567055933106,0.00184247069106736,0.0301191786657313,0.62797349691391,-0.229885205626488,-0.212767317891121,1,0.0999999999999999
0.01,2.60066157526369e-05,7.93643481042551e-05,0.0329218191514916,-0.00228893351346547,-0.00137957596366944,8.53111562504338e-06,-0.0142651539450351,-0.0176679656743833,0.313744216507958,0.211482193122316,-1.50921276825626,0.00204754382836905,0.0301191786657313,1,-0.114193692803383,-0.0609666034579277,0.500655591487885,0.0999999999999999
0.011,1.48797708607825e-05,6.06427722283114e-05,0.0332279948874909,-0.00201878709200327,-0.00269522835281017,1.04092641239895e-05,-0.00815064400975817,-0.0198175489730911,0.297407821591049,0.32055654623689,-0.920729299870205,0.0014883003863828,0.0301191786657313,1,0.260720103979111,-0.551835238933563,0.276289045810699,0.0999999999999999
