Time,x,y,z,alpha,beta,gamma,vx,vy,vz,valpha,vbeta,vgamma,target_z,u1,u2,u3,u4,mass_multiplier
0,0.0001,0.0001,0.030619179,0,0,0,0,0,0,0,0,0,0.030119179,-0.363560468,-0.373725951,0.143976182,0.16231671,1.152
0.01,9.51E-05,9.42E-05,0.030487621,-0.000871552,0.000865965,-2.40E-08,-0.000921913,-0.001103879,-0.025579255,2.020778294,-1.980579121,-1.27E-05,0.030119179,0.098474033,0.197230726,-0.267096132,-0.093593478,1.152
0.02,0.000107554,0.000102284,0.03012346,-0.002322799,0.002324822,-1.07E-06,0.003588332,0.002881948,-0.045166446,1.187378226,-1.065767842,-0.000155665,0.030119179,-0.424738556,-0.333360225,0.098234504,0.067700736,1.152
0.03,0.00014,0.000130816,0.029654707,-0.003163921,0.003194106,1.92E-07,0.003091421,0.003005221,-0.045686777,0.510694822,-0.588572439,0.000126115,0.030119179,-0.518051505,-0.477780879,0.174239874,0.079529837,1.152
0.04,0.000165746,0.00015924,0.029272018,-0.003544846,0.003591618,1.33E-06,0.002194631,0.002822568,-0.028317258,-0.043434495,-0.171423714,0.000418767,0.030119179,-0.626961648,-0.61614567,0.153095573,0.408000827,1.152
0.05,0.000182476,0.000172962,0.029123973,-0.003639192,0.003770121,1.71E-06,0.001227582,-2.93E-05,-0.000270977,-0.204015362,0.127444974,0.000168268,0.030119179,-0.569531918,-0.277183264,0.341239244,0.538295865,1.152
0.06,0.000186526,0.00016634,0.029241611,-0.003496714,0.003789532,1.70E-06,-0.000413633,-0.001344959,0.022992847,-0.429863667,0.333854824,0.000253833,0.030119179,-0.165615842,-0.197362855,0.549329221,0.47711432,1.152
0.07,0.000181159,0.000150059,0.029531404,-0.003132825,0.003609554,1.80E-06,-0.000719993,-0.00202163,0.033063245,-0.733994396,0.648253162,0.000339668,0.030119179,-0.387886345,-0.006365836,0.688423753,0.445203006,1.152
0.08,0.000159264,0.000132488,0.029859161,-0.002477216,0.003097085,-1.03E-06,-0.003778816,-0.00163418,0.030440316,-1.087483098,0.547271837,0.001104655,0.030119179,-0.222177356,-0.130715251,0.317980051,0.531525493,1.152
0.09,0.000121217,0.00010967,0.030111831,-0.0015917,0.002195741,1.65E-06,-0.004028312,-0.003080946,0.018580295,-0.754361799,0.716383261,0.000282213,0.030119179,-0.079321764,-0.230034992,0.255878717,0.142745763,1.152
0.1,8.29E-05,7.86E-05,0.030222533,-0.000788302,0.001152917,4.10E-06,-0.003829017,-0.003297236,0.002912796,-0.235820437,0.652483513,-0.000135549,0.030119179,-0.170054853,-0.150384128,-0.106101051,-0.11804986,1.152
0.11,5.10E-05,5.26E-05,0.030187328,-0.000363395,0.000282466,5.30E-06,-0.002708877,-0.002006537,-0.0097448,0.076070526,0.431282415,-0.000101314,0.030119179,-0.09670268,-0.087967247,-0.065181091,-0.233445421,1.152
0.12,2.81E-05,4.27E-05,0.030036863,-0.000309855,-0.000171304,5.75E-06,-0.001987773,1.25E-05,-0.019450994,0.141142079,-0.054764749,1.90E-05,0.030119179,0.197143644,-0.150473654,-0.296421498,0.203009278,1.152
0.13,2.74E-05,3.61E-05,0.029806764,-0.0004529,-0.000164508,5.51E-06,0.001860187,-0.001341644,-0.02516596,0.649353433,0.063281769,3.92E-05,0.030119179,-0.085285336,-0.156705886,-0.068987787,-0.14681828,1.152
0.14,4.96E-05,2.61E-05,0.02957794,-0.000627512,0.000186439,7.26E-06,0.002696559,-0.000659872,-0.019144108,0.541844356,-0.293458791,4.09E-05,0.030119179,-0.178341419,0.065610051,0.035986036,0.017482162,1.152
0.15,7.64E-05,2.41E-05,0.029434284,-0.000771641,0.000732865,9.93E-06,0.002812639,0.00027791,-0.00865253,0.258915579,-0.653997104,0.000166716,0.030119179,-0.051847167,0.165557459,0.195558354,0.062118359,1.152
0.16,0.000106649,3.37E-05,0.029400995,-0.000928975,0.001419555,1.30E-05,0.00340963,0.001692946,0.002212033,-0.101852114,-0.849150994,0.00050478,0.030119179,-0.152205721,-0.040243052,0.337384045,0.493853956,1.152
0.17,0.00013827,3.68E-05,0.029466615,-0.000955257,0.002218344,1.18E-05,0.003110899,-0.001064108,0.010484929,-0.008792801,-1.014108486,0.00053528,0.030119179,-0.256136835,0.283556461,0.414531916,0.391727984,1.152
0.18,0.000164298,2.66E-05,0.029590778,-0.000776266,0.003053957,1.34E-05,0.002272786,-0.001020236,0.013554219,-0.224662113,-1.060157341,0.000816801,0.030119179,-0.20747523,0.204133064,0.604221821,0.176202804,1.152
0.19,0.000180054,2.04E-05,0.029722962,-0.00051071,0.003785923,1.56E-05,0.001009327,-0.000276504,0.01205471,-0.504123442,-0.875449687,0.001280179,0.030119179,-0.049372725,0.17228961,0.464918137,0.270946324,1.152
0.2,0.000194876,1.68E-05,0.02981426,-0.000185784,0.004267417,1.80E-05,0.002043933,-0.000483808,0.005642608,-0.493562848,-0.058867866,0.001150331,0.030119179,-0.484593779,-0.055653647,0.640530884,-0.119308077,1.152
0.21,0.000201889,1.62E-05,0.029859082,9.72E-05,0.004319659,1.85E-05,-0.000617946,0.000324969,0.00304498,-0.428302322,0.253235975,0.001017784,0.030119179,-0.357086957,-0.167573541,0.482753932,0.084357768,1.152
0.22,0.000191854,1.32E-05,0.029869222,0.00022229,0.003886676,2.10E-05,-0.001463442,-0.000956004,-0.001079878,0.145049034,0.734197062,-0.000225963,0.030119179,-0.448873371,-0.062511794,0.147286177,-0.2572079,1.152
0.23,0.000180282,1.14E-05,0.029860853,0.000136988,0.003161827,2.11E-05,-0.00096097,0.000608063,-0.000542504,0.211384422,1.130259362,-0.000287768,0.030119179,-0.612134397,-0.345149159,0.335609555,-0.160558075,1.152
0.24,0.000160763,1.28E-05,0.029864721,-0.000113397,0.002362358,2.52E-05,-0.003082969,-0.000301118,0.001290398,0.552769536,0.656103068,-0.000762539,0.030119179,-0.177524999,-0.128112093,-0.050344683,-0.243581057,1.152
0.25,0.000144416,1.49E-05,0.02987844,-0.000420945,0.001737032,2.45E-05,-0.000298997,0.000773496,0.001369442,0.343106022,0.66848582,-0.000485788,0.030119179,-0.370703936,-0.240968168,0.198587179,-0.199744463,1.152
0.26,0.000140022,2.33E-05,0.029891165,-0.00067487,0.001503775,2.57E-05,-0.000617614,0.000948639,0.00109655,0.116235855,-0.085244431,-6.91E-05,0.030119179,-0.121803865,-0.03823778,0.212127984,0.185242891,1.152
0.27,0.000139339,2.84E-05,0.029870463,-0.000783362,0.001695392,2.63E-05,0.000501371,9.77E-05,-0.005109926,0.016291252,-0.578469176,0.000228015,0.030119179,-0.207765743,0.043852109,0.245572075,0.127632841,1.152
