Time,x,y,z,alpha,beta,gamma,vx,vy,vz,valpha,vbeta,vgamma,target_z,u1,u2,u3,u4,mass_multiplier
0,0.0001,0.0001,0.030619179,0,0,0,0,0,0,0,0,0,0.030119179,-0.199574664,-0.192630678,0.115915284,0.125386924,0.748
0.01,0.00010181,0.000101692,0.030659742,-0.000887027,0.000887329,-6.50E-09,0.0004643,0.000440212,0.007770684,1.730955437,-1.727310108,-1.90E-06,0.030119179,0.058398552,0.225587726,0.173146099,0.155274451,0.748
0.02,0.000117514,0.000126164,0.030724983,-0.002729199,0.002745742,2.56E-06,0.002930758,0.004742121,0.004733953,1.136083057,-1.404987507,0.000390172,0.030119179,-0.222178817,-0.185007453,0.281692147,0.308799028,0.748
0.03,0.000143299,0.000173192,0.030767932,-0.004070638,0.003933886,2.14E-06,0.002451867,0.004992477,0.003501078,0.069862581,-0.091605502,5.27E-05,0.030119179,-0.528369904,-0.57518667,0.482615978,0.64691627,0.748
0.04,0.000144724,0.000196383,0.030798102,-0.004422763,0.003680249,2.84E-06,-0.002185024,-0.000221985,0.002285338,-0.063346604,0.604136862,-0.001335511,0.030119179,-0.432183027,-0.559097052,0.191141203,0.164461106,0.748
0.05,0.000116673,0.000192594,0.030840573,-0.003825538,0.002275415,1.90E-06,-0.003680328,-0.000612121,0.005854781,-0.936345674,1.201585254,-0.001344916,0.030119179,-0.376294851,-0.54659915,0.110450722,0.443093777,0.748
0.06,7.49E-05,0.000171802,0.03089347,-0.002836849,0.00066886,5.16E-06,-0.005007846,-0.003726436,0.004288433,-0.26271724,0.515816611,-0.000702043,0.030119179,0.004908557,-0.089701131,-0.0796092,0.168711424,0.748
0.07,3.88E-05,0.000149046,0.030901015,-0.002155495,-0.000158803,4.98E-06,-0.002426331,-0.000983736,-0.002836413,-0.331512165,-0.017132948,-3.90E-06,0.030119179,0.028825449,-0.241646513,-0.15606758,0.368045807,0.748
0.08,2.85E-05,0.000134747,0.030841744,-0.002076436,-5.71E-05,4.16E-06,0.000329341,-0.001941839,-0.00853551,0.573899913,-0.418621787,0.000497481,0.030119179,-0.243896872,-0.153206214,0.000931752,0.101621211,0.748
0.09,2.48E-05,0.000124512,0.030757577,-0.002391136,0.00066508,5.68E-06,-0.001021073,-0.000111727,-0.007602016,0.283746855,-0.988783974,0.001194443,0.030119179,0.181071877,-0.03391096,-0.168831736,0.347145259,0.748
0.1,3.46E-05,0.000125986,0.030672291,-0.002497282,0.001115456,5.13E-06,0.003079789,0.000427137,-0.008749649,-0.100855726,0.416238682,-0.000502975,0.030119179,-0.56001699,-0.465222687,0.357137978,0.350911677,0.748
0.11,2.86E-05,0.000112502,0.030628229,-0.002364926,0.001034539,5.32E-06,-0.004324007,-0.003195112,0.000308304,0.241913617,-0.44582429,0.00044417,0.030119179,0.214367181,0.167660534,-0.238702759,0.006764054,0.748
0.12,9.74E-06,0.000105945,0.030654592,-0.001879687,0.000444078,6.70E-06,0.000416789,0.001801003,0.004745826,-1.030359552,1.085374547,-0.000862508,0.030119179,-0.448603272,-0.563038528,0.339300573,0.518523276,0.748
0.13,-2.19E-05,9.11E-05,0.030730924,-0.001442346,-0.000389999,9.53E-06,-0.006963404,-0.004871923,0.009873121,0.552805109,-0.330936286,0.000384114,0.030119179,0.405894578,0.203875601,-0.44279772,-0.181774884,0.748
0.14,-5.84E-05,7.35E-05,0.03082894,-0.001155449,-0.001290723,8.15E-06,-0.000569388,0.001233311,0.008929401,-0.593565189,0.966104612,-0.001026485,0.030119179,-0.149218723,-0.442953348,0.040010702,0.200839311,0.748
0.15,-8.27E-05,6.84E-05,0.030911353,-0.001056879,-0.001916443,1.02E-05,-0.00445562,-0.002284895,0.006877433,0.524059837,-0.490409705,0.000837611,0.030119179,0.597232342,0.235475317,-0.454625338,0.073710874,0.748
0.16,-9.37E-05,6.30E-05,0.030918072,-0.001152531,-0.00211673,9.29E-06,0.002193614,0.001201721,-0.005585428,-0.217629273,0.541484037,-0.000590046,0.030119179,-0.293665946,-0.264768153,0.088488728,0.172020689,0.748
0.17,-0.000104144,6.55E-05,0.030843238,-0.001185981,-0.001813892,8.34E-06,-0.004306311,-0.000680732,-0.008772431,0.228288917,-1.34494977,0.001103418,0.030119179,0.597370088,0.245190382,-0.634090602,0.498671532,0.748
0.18,-0.000108487,5.72E-05,0.030709642,-0.001257041,-0.001538321,6.40E-06,0.003458493,-0.001021206,-0.016857538,0.152308815,0.795738418,-0.000414713,0.030119179,-0.495090663,-0.238490999,0.143956617,-0.307497293,0.748
