Time,x,y,z,alpha,beta,gamma,vx,vy,vz,valpha,vbeta,vgamma,target_z,u1,u2,u3,u4,mass_multiplier
0,0.0001,0.0001,0.030619179,0,0,0,0,0,0,0,0,0,0.030119179,-0.140091032,-0.177960783,0.218572944,0.173972458,1
0.01,9.98E-05,0.000100007,0.030521891,-0.000844466,0.000843827,2.56E-08,2.79E-05,7.34E-05,-0.018839674,1.764092001,-1.773553285,5.07E-06,0.030119179,0.079650931,0.160905018,-0.149087772,-0.106261514,1
0.02,0.000120904,0.000123084,0.030268762,-0.002420349,0.00242012,4.75E-07,0.004426915,0.004780599,-0.030140447,1.08667866,-1.136437721,6.59E-05,0.030119179,-0.586203694,-0.353937745,0.104077905,0.375500441,1
0.03,0.000156879,0.000161762,0.029975929,-0.003593505,0.003564936,-1.98E-07,0.003005228,0.003206059,-0.0264133,0.843246778,-0.792342059,-8.67E-05,0.030119179,-0.550303936,-0.467577368,0.239541009,0.382643044,1
0.04,0.000179289,0.000184684,0.029774137,-0.004199212,0.004110991,-8.58E-07,0.001618276,0.001529228,-0.012504841,0.288125946,-0.153088525,-0.00029532,0.030119179,-0.505185962,-0.410164207,0.184587583,0.460755676,1
0.05,0.000194567,0.000192747,0.02973839,-0.00428301,0.004177261,-1.76E-06,0.001493607,0.000120617,0.005613445,-0.326769159,0.604496844,-0.000669528,0.030119179,-0.440497756,-0.391157508,0.339746773,0.355482668,1
0.06,0.000207488,0.00019229,0.029873323,-0.003949309,0.003913659,-3.49E-06,0.001084822,-0.000266198,0.020401834,-0.954858954,1.059044755,-0.0002424,0.030119179,-0.754768312,-0.572049677,0.588170409,0.645562768,1
0.07,0.000196077,0.000169596,0.030117723,-0.003172739,0.003333996,-6.11E-06,-0.003465804,-0.004430063,0.026770146,-0.676940793,0.447669327,0.000461817,0.030119179,-0.203865334,-0.088078305,0.353577673,0.201774985,1
0.08,0.000165508,0.000135604,0.030358319,-0.002064283,0.002625572,-8.32E-06,-0.002825282,-0.002598726,0.019748724,-0.994346178,0.375341032,0.001008628,0.030119179,-0.128788844,-0.152680039,0.378850311,0.322699815,1
0.09,0.000139159,0.000109101,0.030481775,-0.001145727,0.002092512,-9.25E-06,-0.002578418,-0.002868503,0.004145957,-0.243796199,0.019840747,0.000271163,0.030119179,-0.090078823,-0.071963489,0.196722493,0.054319941,1
0.1,0.000119919,8.89E-05,0.030447957,-0.000874102,0.001843922,-9.28E-06,-0.001349809,-0.001262662,-0.010689847,0.282596514,-0.084299703,-0.000240389,0.030119179,-0.182751581,-0.235648781,0.036599502,-0.037520919,1
0.11,0.000113558,8.00E-05,0.030300315,-0.001150522,0.001791899,-9.11E-06,5.96E-05,-0.000515432,-0.017864612,0.667584897,-0.035484576,-0.000627666,0.030119179,-0.234050602,-0.242271781,0.229723185,-0.030073985,1
0.12,0.000112043,7.71E-05,0.030108679,-0.001576753,0.001860205,-7.70E-06,-0.000356291,-2.14E-05,-0.019167925,0.569063826,-0.266385384,-0.000344922,0.030119179,-0.189559028,-0.217401102,0.060553856,0.031164359,1
0.13,0.000114127,7.78E-05,0.029943883,-0.001823019,0.00198989,-7.47E-06,0.000802038,0.000188934,-0.012645785,0.178436679,-0.08574897,-0.000104222,0.030119179,-0.237366229,-0.079017147,0.013077199,0.03141034,1
0.14,0.00012879,8.64E-05,0.029871314,-0.00185963,0.002163734,-7.31E-06,0.002199846,0.00156382,-0.001355778,-0.415545603,0.135708438,0.000358741,0.030119179,-0.317707658,-0.282225043,0.394283921,0.372705817,1
0.15,0.000142164,8.94E-05,0.029902257,-0.001697594,0.002360981,-8.42E-06,0.000539307,-0.000959324,0.007325837,-0.268842465,-0.165352722,0.000505663,0.030119179,-0.330812097,-0.069389217,0.280002952,0.329378575,1
0.16,0.000143827,7.66E-05,0.030006035,-0.001368956,0.002548226,-9.24E-06,-0.000182285,-0.001694418,0.012705921,-0.242510501,-0.28067143,0.000553122,0.030119179,-0.287362158,0.115854368,0.282056153,0.173056588,1
0.17,0.000139697,6.74E-05,0.030136324,-0.001006362,0.002685827,-9.28E-06,-0.000644883,-0.000220204,0.012461618,-0.443913737,-0.199342132,0.000766708,0.030119179,-0.170929715,-0.095005147,0.359389067,0.144186243,1
0.18,0.000131741,6.53E-05,0.030240594,-0.000758347,0.002648698,-9.17E-06,-0.000977576,-0.000227401,0.007692234,-0.150215931,0.050276595,0.000201721,0.030119179,-0.12317913,-0.159723029,0.33093518,0.13946104,1
0.19,0.000122202,6.05E-05,0.030282019,-0.000767011,0.002359648,-8.42E-06,-0.000989582,-0.00075397,0.00031765,0.332557192,0.353606661,-0.0005728,0.030119179,-0.36009112,-0.104504555,0.184659272,-0.136766225,1
0.2,0.000107988,6.18E-05,0.030269066,-0.000986614,0.001898077,-8.16E-06,-0.001942211,0.001048504,-0.002821925,0.160786748,0.28757737,-0.000317514,0.030119179,-0.320518106,-0.313173711,0.043225408,0.12242192,1
0.21,8.87E-05,6.46E-05,0.030231226,-0.001263928,0.001422822,-6.88E-06,-0.002024015,-0.000450796,-0.00449109,0.444199174,0.21687571,-0.000491061,0.030119179,-0.161145806,-0.059387766,-0.015734378,-0.242891133,1
0.22,7.42E-05,7.54E-05,0.030185313,-0.00146078,0.001041778,-7.79E-06,-0.000957476,0.002673965,-0.004381116,-0.343678342,0.237800117,1.30E-05,0.030119179,-0.085808396,-0.46044153,-0.030248348,0.40225628,1
0.23,7.23E-05,8.10E-05,0.030138269,-0.001523351,0.000851302,-6.59E-06,0.000552448,-0.001543157,-0.004707847,0.329504417,0.191314988,-0.000305706,0.030119179,-0.210481793,-0.144804597,0.273356676,-0.101276554,1
0.24,6.96E-05,7.42E-05,0.030097558,-0.001487597,0.000911803,-5.91E-06,-0.001095005,0.000154447,-0.003155599,-0.155250854,-0.462437093,0.000461921,0.030119179,-0.017350327,-0.006111056,0.044552483,0.334453106,1
0.25,6.51E-05,7.30E-05,0.030058927,-0.001345092,0.001144238,-5.88E-06,0.00021448,-0.000406172,-0.004306898,-0.190211875,-0.363562181,0.000394659,0.030119179,0.039867133,-0.014436319,0.091920093,0.270484775,1
0.26,7.42E-05,6.79E-05,0.030015908,-0.001145909,0.00141042,-5.71E-06,0.001659602,-0.000640691,-0.00400223,-0.17451591,-0.043308803,0.000169279,0.030119179,-0.377127349,-0.075796649,0.291180104,0.324914247,1
0.27,7.60E-05,5.53E-05,0.029993058,-0.000933863,0.001565308,-6.44E-06,-0.001284591,-0.001951995,-0.000409471,0.069730292,-0.357332271,0.000130511,0.030119179,-0.067247644,0.023438893,0.150724798,0.015549129,1
0.28,6.45E-05,4.29E-05,0.03000955,-0.000736483,0.001527443,-6.10E-06,-0.001039987,-0.000595052,0.003594035,-0.14816568,-0.001410542,0.000132415,0.030119179,-0.12336427,-0.005179416,0.228654176,0.154380396,1
0.29,4.90E-05,3.65E-05,0.030055156,-0.000568226,0.001250455,-5.77E-06,-0.002141191,-0.000718783,0.00521299,-0.094030862,0.198726471,1.07E-05,0.030119179,0.136064678,0.078618556,-0.064255297,0.152429849,1
0.3,4.12E-05,3.12E-05,0.030104899,-0.000437052,0.0007561,-5.06E-06,0.00049035,-0.000367753,0.004396888,-0.07364558,0.898384309,-0.000177003,0.030119179,-0.24090293,-0.16239205,0.203748688,-0.064808235,1
0.31,3.53E-05,2.80E-05,0.030158824,-0.000375227,0.000238702,-4.62E-06,-0.001732628,-0.000302386,0.006018965,0.022197407,0.307913318,-5.85E-05,0.030119179,-0.115573369,0.002324194,0.014395272,-0.032485679,1
0.32,1.72E-05,2.99E-05,0.030212231,-0.000392454,-7.40E-05,-4.56E-06,-0.001977962,0.000702089,0.004301388,-0.048739276,-0.136699933,3.49E-05,0.030119179,0.151792184,0.078418389,-0.051737566,0.174975887,1
0.33,6.52E-06,3.77E-05,0.030221028,-0.000508197,-0.000126888,-4.55E-06,-0.000198061,0.00088128,-0.002600153,0.067579503,-0.109735622,4.27E-05,0.030119179,0.005819554,0.042787299,-0.088779159,0.230376512,1
