idx,recoverable,first_failure
1,0.025,0.03
2,0.025,0.03
3,0.035,0.04
4,0.025,0.03
5,0.025,0.03
6,0.025,0.03
7,0.035,0.04
8,0.025,0.03
9,0.025,0.03
10,0.025,0.03
11,0.035,0.04
12,0.025,0.03
13,0.025,0.03
14,0.025,0.03
15,0.035,0.04
16,0.025,0.03
17,0.025,0.03
18,0.025,0.03
19,0.035,0.04
20,0.025,0.03
21,0.025,0.03
22,0.025,0.03
23,0.035,0.04
24,0.025,0.03
25,0.025,0.03
26,0.025,0.03
27,0.035,0.04
28,0.025,0.03
29,0.025,0.03
30,0.025,0.03
31,0.035,0.04
32,0.025,0.03
33,0.025,0.03
34,0.025,0.03
35,0.035,0.04
36,0.025,0.03
37,0.025,0.03
38,0.025,0.03
39,0.035,0.04
40,0.025,0.03
41,0.025,0.03
42,0.025,0.03
43,0.035,0.04
44,0.025,0.03
45,0.025,0.03
46,0.025,0.03
47,0.035,0.04
48,0.025,0.03
49,0.1525,0.155
50,0.1375,0.14
