idx,recoverable,first_failure
1,0.03,0.0325
2,0.0325,0.035
3,0.035,0.04
4,0.025,0.03
5,0.0225,0.025
6,0.0225,0.025
7,0.025,0.03
8,0.025,0.03
9,0.03,0.0325
10,0.0325,0.035
11,0.0325,0.035
12,0.0325,0.035
13,0.025,0.03
14,0.03,0.0325
15,0.03,0.0325
16,0.0325,0.035
17,0.025,0.03
18,0.03,0.0325
19,0.0325,0.035
20,0.025,0.03
21,0.025,0.03
22,0.0225,0.025
23,0.025,0.03
24,0.025,0.03
25,0.025,0.03
26,0.025,0.03
27,0.025,0.03
28,0.025,0.03
29,0.025,0.03
30,0.025,0.03
31,0.03,0.0325
32,0.025,0.03
33,0.03,0.0325
34,0.03,0.0325
35,0.0325,0.035
36,0.03,0.0325
37,0.025,0.03
38,0.025,0.03
39,0.025,0.03
40,0.03,0.0325
41,0.025,0.03
42,0.03,0.0325
43,0.035,0.04
44,0.025,0.03
45,0.025,0.03
46,0.025,0.03
47,0.03,0.0325
48,0.03,0.0325
49,0.04,0.045
50,0.035,0.04
