idx,recoverable,first_failure
1,0.0325,0.035
2,0.035,0.04
3,0.045,0.0475
4,0.035,0.04
5,0.0325,0.035
6,0.035,0.04
7,0.045,0.0475
8,0.035,0.04
9,0.0325,0.035
10,0.035,0.04
11,0.045,0.0475
12,0.035,0.04
13,0.0325,0.035
14,0.035,0.04
15,0.045,0.0475
16,0.035,0.04
17,0.025,0.03
18,0.03,0.0325
19,0.04,0.045
20,0.03,0.0325
21,0.025,0.03
22,0.03,0.0325
23,0.04,0.045
24,0.03,0.0325
25,0,0.005
26,0,0.005
27,0,0.005
28,0,0.005
29,0,0.005
30,0,0.005
31,0,0.005
32,0,0.005
33,0,0.005
34,0,0.005
35,0,0.005
36,0,0.005
37,0,0.005
38,0,0.005
39,0,0.005
40,0,0.005
41,0,0.005
42,0,0.005
43,0,0.005
44,0,0.005
45,0,0.005
46,0,0.005
47,0,0.005
48,0,0.005
49,0,0.005
50,0,0.005
